40  15641   18934   574
39  15232   18444   547
38  14827   17958   520
37  14424   17475   494
36  14024   16995   469
35  13628   16521   444
34  13236   16050   420
33  12848   15586   397
32  12465   15126   374
31  12087   14673   352
30  11715   14227   331
29  11348   13788   310
28  10988   13356   290
27  10634   12932   271
26  10288   12516   252
25  9948    12109   234
24  9617    11712   217
23  9293    11324   200
22  8979    10946   184
21  8673    10580   169
20  8376    10224   154
19  8089    9880    140
18  7812    9547    127
17  7545    9228    114
16  7289    8921    102
15  7044    8627    91
14  6811    8347    80
13  6589    8082    70
12  6380    7831    61
11  6184    7596    52
10  6000    7376    44
9   5830    7172    37
8   5674    6985    30
7   5532    6814    24
6   5404    6661    19
5   5292    6526    14
4   5194    6409    10
3   5112    6311    7
2   5047    6233    4
1   4998    6174    0
